#separator:tab
#html:true
#deck:IELTS Topic Collocation::社会 Society
#columns:Front Back Topic TopicZh Type BaseChinese BaseEnglish HighlightChinese HighlightEnglish Tags CardId
<div style="font-size:24px;font-weight:700">快速增长的人口老龄化</div><div style="margin-top:8px;color:#666">社会 / Society · adjective</div>	<div style="font-size:22px;font-weight:700">rapidly growing aging population</div><div style="margin-top:10px"><b>Base</b>: 人口老龄化 = aging population</div><div><b>Focus</b>: 快速增长的 = rapidly growing</div><div><b>Type</b>: adjective</div>	Society	社会	adjective	人口老龄化	aging population	快速增长的	rapidly growing	IELTS_Task2 topic_collocation topic::Society type::adjective	Society-001
<div style="font-size:24px;font-weight:700">应对人口老龄化</div><div style="margin-top:8px;color:#666">社会 / Society · verb</div>	<div style="font-size:22px;font-weight:700">address aging population</div><div style="margin-top:10px"><b>Base</b>: 人口老龄化 = aging population</div><div><b>Focus</b>: 应对 = address</div><div><b>Type</b>: verb</div>	Society	社会	verb	人口老龄化	aging population	应对	address	IELTS_Task2 topic_collocation topic::Society type::verb	Society-002
<div style="font-size:24px;font-weight:700">持续偏低的出生率</div><div style="margin-top:8px;color:#666">社会 / Society · adjective</div>	<div style="font-size:22px;font-weight:700">persistently low birth rate</div><div style="margin-top:10px"><b>Base</b>: 出生率 = birth rate</div><div><b>Focus</b>: 持续偏低的 = persistently low</div><div><b>Type</b>: adjective</div>	Society	社会	adjective	出生率	birth rate	持续偏低的	persistently low	IELTS_Task2 topic_collocation topic::Society type::adjective	Society-003
<div style="font-size:24px;font-weight:700">逆转出生率</div><div style="margin-top:8px;color:#666">社会 / Society · verb</div>	<div style="font-size:22px;font-weight:700">reverse a low birth rate</div><div style="margin-top:10px"><b>Base</b>: 出生率 = birth rate</div><div><b>Focus</b>: 逆转 = reverse</div><div><b>Type</b>: verb</div>	Society	社会	verb	出生率	birth rate	逆转	reverse	IELTS_Task2 topic_collocation topic::Society type::verb	Society-004
<div style="font-size:24px;font-weight:700">脆弱的单亲家庭</div><div style="margin-top:8px;color:#666">社会 / Society · adjective</div>	<div style="font-size:22px;font-weight:700">vulnerable single-parent family</div><div style="margin-top:10px"><b>Base</b>: 单亲家庭 = single-parent family</div><div><b>Focus</b>: 脆弱的 = vulnerable</div><div><b>Type</b>: adjective</div>	Society	社会	adjective	单亲家庭	single-parent family	脆弱的	vulnerable	IELTS_Task2 topic_collocation topic::Society type::adjective	Society-005
<div style="font-size:24px;font-weight:700">支持单亲家庭</div><div style="margin-top:8px;color:#666">社会 / Society · verb</div>	<div style="font-size:22px;font-weight:700">support single-parent families</div><div style="margin-top:10px"><b>Base</b>: 单亲家庭 = single-parent family</div><div><b>Focus</b>: 支持 = support</div><div><b>Type</b>: verb</div>	Society	社会	verb	单亲家庭	single-parent family	支持	support	IELTS_Task2 topic_collocation topic::Society type::verb	Society-006
<div style="font-size:24px;font-weight:700">典型的核心家庭</div><div style="margin-top:8px;color:#666">社会 / Society · adjective</div>	<div style="font-size:22px;font-weight:700">typical nuclear family</div><div style="margin-top:10px"><b>Base</b>: 核心家庭 = nuclear family</div><div><b>Focus</b>: 典型的 = typical</div><div><b>Type</b>: adjective</div>	Society	社会	adjective	核心家庭	nuclear family	典型的	typical	IELTS_Task2 topic_collocation topic::Society type::adjective	Society-007
<div style="font-size:24px;font-weight:700">组建核心家庭</div><div style="margin-top:8px;color:#666">社会 / Society · verb</div>	<div style="font-size:22px;font-weight:700">form a nuclear family</div><div style="margin-top:10px"><b>Base</b>: 核心家庭 = nuclear family</div><div><b>Focus</b>: 组建 = form</div><div><b>Type</b>: verb</div>	Society	社会	verb	核心家庭	nuclear family	组建	form	IELTS_Task2 topic_collocation topic::Society type::verb	Society-008
<div style="font-size:24px;font-weight:700">和谐的代际关系</div><div style="margin-top:8px;color:#666">社会 / Society · adjective</div>	<div style="font-size:22px;font-weight:700">harmonious intergenerational relationship</div><div style="margin-top:10px"><b>Base</b>: 代际关系 = intergenerational relationship</div><div><b>Focus</b>: 和谐的 = harmonious</div><div><b>Type</b>: adjective</div>	Society	社会	adjective	代际关系	intergenerational relationship	和谐的	harmonious	IELTS_Task2 topic_collocation topic::Society type::adjective	Society-009
<div style="font-size:24px;font-weight:700">改善代际关系</div><div style="margin-top:8px;color:#666">社会 / Society · verb</div>	<div style="font-size:22px;font-weight:700">improve intergenerational relationships</div><div style="margin-top:10px"><b>Base</b>: 代际关系 = intergenerational relationship</div><div><b>Focus</b>: 改善 = improve</div><div><b>Type</b>: verb</div>	Society	社会	verb	代际关系	intergenerational relationship	改善	improve	IELTS_Task2 topic_collocation topic::Society type::verb	Society-010
<div style="font-size:24px;font-weight:700">严重的家庭暴力</div><div style="margin-top:8px;color:#666">社会 / Society · adjective</div>	<div style="font-size:22px;font-weight:700">severe domestic violence</div><div style="margin-top:10px"><b>Base</b>: 家庭暴力 = domestic violence</div><div><b>Focus</b>: 严重的 = severe</div><div><b>Type</b>: adjective</div>	Society	社会	adjective	家庭暴力	domestic violence	严重的	severe	IELTS_Task2 topic_collocation topic::Society type::adjective	Society-011
<div style="font-size:24px;font-weight:700">防止家庭暴力</div><div style="margin-top:8px;color:#666">社会 / Society · verb</div>	<div style="font-size:22px;font-weight:700">prevent domestic violence</div><div style="margin-top:10px"><b>Base</b>: 家庭暴力 = domestic violence</div><div><b>Focus</b>: 防止 = prevent</div><div><b>Type</b>: verb</div>	Society	社会	verb	家庭暴力	domestic violence	防止	prevent	IELTS_Task2 topic_collocation topic::Society type::verb	Society-012
<div style="font-size:24px;font-weight:700">扩大的贫富差距</div><div style="margin-top:8px;color:#666">社会 / Society · adjective</div>	<div style="font-size:22px;font-weight:700">widening wealth gap</div><div style="margin-top:10px"><b>Base</b>: 贫富差距 = wealth gap</div><div><b>Focus</b>: 扩大的 = widening</div><div><b>Type</b>: adjective</div>	Society	社会	adjective	贫富差距	wealth gap	扩大的	widening	IELTS_Task2 topic_collocation topic::Society type::adjective	Society-013
<div style="font-size:24px;font-weight:700">缩小贫富差距</div><div style="margin-top:8px;color:#666">社会 / Society · verb</div>	<div style="font-size:22px;font-weight:700">narrow the wealth gap</div><div style="margin-top:10px"><b>Base</b>: 贫富差距 = wealth gap</div><div><b>Focus</b>: 缩小 = narrow</div><div><b>Type</b>: verb</div>	Society	社会	verb	贫富差距	wealth gap	缩小	narrow	IELTS_Task2 topic_collocation topic::Society type::verb	Society-014
<div style="font-size:24px;font-weight:700">严重的收入不平等</div><div style="margin-top:8px;color:#666">社会 / Society · adjective</div>	<div style="font-size:22px;font-weight:700">serious income inequality</div><div style="margin-top:10px"><b>Base</b>: 收入不平等 = income inequality</div><div><b>Focus</b>: 严重的 = serious</div><div><b>Type</b>: adjective</div>	Society	社会	adjective	收入不平等	income inequality	严重的	serious	IELTS_Task2 topic_collocation topic::Society type::adjective	Society-015
<div style="font-size:24px;font-weight:700">减少收入不平等</div><div style="margin-top:8px;color:#666">社会 / Society · verb</div>	<div style="font-size:22px;font-weight:700">reduce income inequality</div><div style="margin-top:10px"><b>Base</b>: 收入不平等 = income inequality</div><div><b>Focus</b>: 减少 = reduce</div><div><b>Type</b>: verb</div>	Society	社会	verb	收入不平等	income inequality	减少	reduce	IELTS_Task2 topic_collocation topic::Society type::verb	Society-016
