#separator:tab
#html:true
#deck:IELTS Topic Collocation::健康 Health
#columns:Front Back Topic TopicZh Type BaseChinese BaseEnglish HighlightChinese HighlightEnglish Tags CardId
<div style="font-size:24px;font-weight:700">严重的肥胖</div><div style="margin-top:8px;color:#666">健康 / Health · adjective</div>	<div style="font-size:22px;font-weight:700">severe obesity</div><div style="margin-top:10px"><b>Base</b>: 肥胖 = obesity</div><div><b>Focus</b>: 严重的 = severe</div><div><b>Type</b>: adjective</div>	Health	健康	adjective	肥胖	obesity	严重的	severe	IELTS_Task2 topic_collocation topic::Health type::adjective	Health-001
<div style="font-size:24px;font-weight:700">预防肥胖</div><div style="margin-top:8px;color:#666">健康 / Health · verb</div>	<div style="font-size:22px;font-weight:700">prevent obesity</div><div style="margin-top:10px"><b>Base</b>: 肥胖 = obesity</div><div><b>Focus</b>: 预防 = prevent</div><div><b>Type</b>: verb</div>	Health	健康	verb	肥胖	obesity	预防	prevent	IELTS_Task2 topic_collocation topic::Health type::verb	Health-002
<div style="font-size:24px;font-weight:700">2型的糖尿病</div><div style="margin-top:8px;color:#666">健康 / Health · adjective</div>	<div style="font-size:22px;font-weight:700">type 2 diabetes</div><div style="margin-top:10px"><b>Base</b>: 糖尿病 = diabetes</div><div><b>Focus</b>: 2型的 = type 2</div><div><b>Type</b>: adjective</div>	Health	健康	adjective	糖尿病	diabetes	2型的	type 2	IELTS_Task2 topic_collocation topic::Health type::adjective	Health-003
<div style="font-size:24px;font-weight:700">管理糖尿病</div><div style="margin-top:8px;color:#666">健康 / Health · verb</div>	<div style="font-size:22px;font-weight:700">manage diabetes</div><div style="margin-top:10px"><b>Base</b>: 糖尿病 = diabetes</div><div><b>Focus</b>: 管理 = manage</div><div><b>Type</b>: verb</div>	Health	健康	verb	糖尿病	diabetes	管理	manage	IELTS_Task2 topic_collocation topic::Health type::verb	Health-004
<div style="font-size:24px;font-weight:700">慢性的心脏病</div><div style="margin-top:8px;color:#666">健康 / Health · adjective</div>	<div style="font-size:22px;font-weight:700">chronic heart disease</div><div style="margin-top:10px"><b>Base</b>: 心脏病 = heart disease</div><div><b>Focus</b>: 慢性的 = chronic</div><div><b>Type</b>: adjective</div>	Health	健康	adjective	心脏病	heart disease	慢性的	chronic	IELTS_Task2 topic_collocation topic::Health type::adjective	Health-005
<div style="font-size:24px;font-weight:700">降低风险心脏病</div><div style="margin-top:8px;color:#666">健康 / Health · verb</div>	<div style="font-size:22px;font-weight:700">reduce the risk of heart disease</div><div style="margin-top:10px"><b>Base</b>: 心脏病 = heart disease</div><div><b>Focus</b>: 降低风险 = reduce the risk of</div><div><b>Type</b>: verb</div>	Health	健康	verb	心脏病	heart disease	降低风险	reduce the risk of	IELTS_Task2 topic_collocation topic::Health type::verb	Health-006
<div style="font-size:24px;font-weight:700">持续的高血压</div><div style="margin-top:8px;color:#666">健康 / Health · adjective</div>	<div style="font-size:22px;font-weight:700">persistent high blood pressure</div><div style="margin-top:10px"><b>Base</b>: 高血压 = high blood pressure</div><div><b>Focus</b>: 持续的 = persistent</div><div><b>Type</b>: adjective</div>	Health	健康	adjective	高血压	high blood pressure	持续的	persistent	IELTS_Task2 topic_collocation topic::Health type::adjective	Health-007
<div style="font-size:24px;font-weight:700">降低高血压</div><div style="margin-top:8px;color:#666">健康 / Health · verb</div>	<div style="font-size:22px;font-weight:700">lower high blood pressure</div><div style="margin-top:10px"><b>Base</b>: 高血压 = high blood pressure</div><div><b>Focus</b>: 降低 = lower</div><div><b>Type</b>: verb</div>	Health	健康	verb	高血压	high blood pressure	降低	lower	IELTS_Task2 topic_collocation topic::Health type::verb	Health-008
<div style="font-size:24px;font-weight:700">糟糕的心理健康</div><div style="margin-top:8px;color:#666">健康 / Health · adjective</div>	<div style="font-size:22px;font-weight:700">poor mental health</div><div style="margin-top:10px"><b>Base</b>: 心理健康 = mental health</div><div><b>Focus</b>: 糟糕的 = poor</div><div><b>Type</b>: adjective</div>	Health	健康	adjective	心理健康	mental health	糟糕的	poor	IELTS_Task2 topic_collocation topic::Health type::adjective	Health-009
<div style="font-size:24px;font-weight:700">改善心理健康</div><div style="margin-top:8px;color:#666">健康 / Health · verb</div>	<div style="font-size:22px;font-weight:700">improve mental health</div><div style="margin-top:10px"><b>Base</b>: 心理健康 = mental health</div><div><b>Focus</b>: 改善 = improve</div><div><b>Type</b>: verb</div>	Health	健康	verb	心理健康	mental health	改善	improve	IELTS_Task2 topic_collocation topic::Health type::verb	Health-010
<div style="font-size:24px;font-weight:700">临床的抑郁症</div><div style="margin-top:8px;color:#666">健康 / Health · adjective</div>	<div style="font-size:22px;font-weight:700">clinical depression</div><div style="margin-top:10px"><b>Base</b>: 抑郁症 = depression</div><div><b>Focus</b>: 临床的 = clinical</div><div><b>Type</b>: adjective</div>	Health	健康	adjective	抑郁症	depression	临床的	clinical	IELTS_Task2 topic_collocation topic::Health type::adjective	Health-011
<div style="font-size:24px;font-weight:700">治疗抑郁症</div><div style="margin-top:8px;color:#666">健康 / Health · verb</div>	<div style="font-size:22px;font-weight:700">treat depression</div><div style="margin-top:10px"><b>Base</b>: 抑郁症 = depression</div><div><b>Focus</b>: 治疗 = treat</div><div><b>Type</b>: verb</div>	Health	健康	verb	抑郁症	depression	治疗	treat	IELTS_Task2 topic_collocation topic::Health type::verb	Health-012
<div style="font-size:24px;font-weight:700">严重的焦虑症</div><div style="margin-top:8px;color:#666">健康 / Health · adjective</div>	<div style="font-size:22px;font-weight:700">severe anxiety disorder</div><div style="margin-top:10px"><b>Base</b>: 焦虑症 = anxiety disorder</div><div><b>Focus</b>: 严重的 = severe</div><div><b>Type</b>: adjective</div>	Health	健康	adjective	焦虑症	anxiety disorder	严重的	severe	IELTS_Task2 topic_collocation topic::Health type::adjective	Health-013
<div style="font-size:24px;font-weight:700">诊断焦虑症</div><div style="margin-top:8px;color:#666">健康 / Health · verb</div>	<div style="font-size:22px;font-weight:700">diagnose anxiety disorder</div><div style="margin-top:10px"><b>Base</b>: 焦虑症 = anxiety disorder</div><div><b>Focus</b>: 诊断 = diagnose</div><div><b>Type</b>: verb</div>	Health	健康	verb	焦虑症	anxiety disorder	诊断	diagnose	IELTS_Task2 topic_collocation topic::Health type::verb	Health-014
<div style="font-size:24px;font-weight:700">传染性的传染病</div><div style="margin-top:8px;color:#666">健康 / Health · adjective</div>	<div style="font-size:22px;font-weight:700">contagious infectious disease</div><div style="margin-top:10px"><b>Base</b>: 传染病 = infectious disease</div><div><b>Focus</b>: 传染性的 = contagious</div><div><b>Type</b>: adjective</div>	Health	健康	adjective	传染病	infectious disease	传染性的	contagious	IELTS_Task2 topic_collocation topic::Health type::adjective	Health-015
<div style="font-size:24px;font-weight:700">控制传染病</div><div style="margin-top:8px;color:#666">健康 / Health · verb</div>	<div style="font-size:22px;font-weight:700">control infectious diseases</div><div style="margin-top:10px"><b>Base</b>: 传染病 = infectious disease</div><div><b>Focus</b>: 控制 = control</div><div><b>Type</b>: verb</div>	Health	健康	verb	传染病	infectious disease	控制	control	IELTS_Task2 topic_collocation topic::Health type::verb	Health-016
<div style="font-size:24px;font-weight:700">可预防的慢性病</div><div style="margin-top:8px;color:#666">健康 / Health · adjective</div>	<div style="font-size:22px;font-weight:700">preventable chronic disease</div><div style="margin-top:10px"><b>Base</b>: 慢性病 = chronic disease</div><div><b>Focus</b>: 可预防的 = preventable</div><div><b>Type</b>: adjective</div>	Health	健康	adjective	慢性病	chronic disease	可预防的	preventable	IELTS_Task2 topic_collocation topic::Health type::adjective	Health-017
<div style="font-size:24px;font-weight:700">管理慢性病</div><div style="margin-top:8px;color:#666">健康 / Health · verb</div>	<div style="font-size:22px;font-weight:700">manage chronic diseases</div><div style="margin-top:10px"><b>Base</b>: 慢性病 = chronic disease</div><div><b>Focus</b>: 管理 = manage</div><div><b>Type</b>: verb</div>	Health	健康	verb	慢性病	chronic disease	管理	manage	IELTS_Task2 topic_collocation topic::Health type::verb	Health-018
<div style="font-size:24px;font-weight:700">严重的呼吸系统疾病</div><div style="margin-top:8px;color:#666">健康 / Health · adjective</div>	<div style="font-size:22px;font-weight:700">serious respiratory diseases</div><div style="margin-top:10px"><b>Base</b>: 呼吸系统疾病 = respiratory diseases</div><div><b>Focus</b>: 严重的 = serious</div><div><b>Type</b>: adjective</div>	Health	健康	adjective	呼吸系统疾病	respiratory diseases	严重的	serious	IELTS_Task2 topic_collocation topic::Health type::adjective	Health-019
<div style="font-size:24px;font-weight:700">治疗呼吸系统疾病</div><div style="margin-top:8px;color:#666">健康 / Health · verb</div>	<div style="font-size:22px;font-weight:700">treat respiratory diseases</div><div style="margin-top:10px"><b>Base</b>: 呼吸系统疾病 = respiratory diseases</div><div><b>Focus</b>: 治疗 = treat</div><div><b>Type</b>: verb</div>	Health	健康	verb	呼吸系统疾病	respiratory diseases	治疗	treat	IELTS_Task2 topic_collocation topic::Health type::verb	Health-020
<div style="font-size:24px;font-weight:700">有营养的均衡饮食</div><div style="margin-top:8px;color:#666">健康 / Health · adjective</div>	<div style="font-size:22px;font-weight:700">nutritious balanced diet</div><div style="margin-top:10px"><b>Base</b>: 均衡饮食 = balanced diet</div><div><b>Focus</b>: 有营养的 = nutritious</div><div><b>Type</b>: adjective</div>	Health	健康	adjective	均衡饮食	balanced diet	有营养的	nutritious	IELTS_Task2 topic_collocation topic::Health type::adjective	Health-021
<div style="font-size:24px;font-weight:700">保持均衡饮食</div><div style="margin-top:8px;color:#666">健康 / Health · verb</div>	<div style="font-size:22px;font-weight:700">maintain a balanced diet</div><div style="margin-top:10px"><b>Base</b>: 均衡饮食 = balanced diet</div><div><b>Focus</b>: 保持 = maintain</div><div><b>Type</b>: verb</div>	Health	健康	verb	均衡饮食	balanced diet	保持	maintain	IELTS_Task2 topic_collocation topic::Health type::verb	Health-022
<div style="font-size:24px;font-weight:700">普遍存在的快餐文化</div><div style="margin-top:8px;color:#666">健康 / Health · adjective</div>	<div style="font-size:22px;font-weight:700">pervasive fast food culture</div><div style="margin-top:10px"><b>Base</b>: 快餐文化 = fast food culture</div><div><b>Focus</b>: 普遍存在的 = pervasive</div><div><b>Type</b>: adjective</div>	Health	健康	adjective	快餐文化	fast food culture	普遍存在的	pervasive	IELTS_Task2 topic_collocation topic::Health type::adjective	Health-023
